s_id,X,Y,SchoolName,Address,SCH_Level
"3,518",77.23,28.63,MCD Primary School (Girls),"Rouse Avenue, Mata Sundri Road, New Delhi-110002",Primary
"3,519",77.19,28.64,DTEA Sr. Sec. School,"Pusa Road, NEW DELHI-110005",Senior Secondary
"3,520",77.19,28.64,G D Soni DAV Sr. Sec. School,"Pusa Road, New Delhi.",Senior Secondary
"3,521",77.23,28.65,Commercial Primary School,"Charkhewalan, Delhi 110006",Primary
"3,522",77.21,28.66,MCD Primary School (Girls),"Multani Dhanda Gali No.10, Pahar Ganj, New Delhi -110055",Primary
"3,523",77.19,28.66,Cambridge Preparatory School,60/32 New Rohtak Road New Delhi-110005,Primary
"3,524",77.19,28.66,MCD Primary School (General Shift) (Co-ed),"22B-Dev Nagar, Karol Bagh New Delhi-110005",Primary
"3,525",77.19,28.66,Om Parkash Bal Vikas Mandir,"4C, New Rohtak Road Karol Bagh, New Delhi 110005",Primary
"3,526",77.20,28.66,MCD Primary School (Boys),"Ahata Thakurdas, New Rohtak Road New Delhi-110005",Primary
"3,527",77.20,28.66,MCD Primary School (Girls),"Ahata Thakurdas, New Rohtak Road New Delhi-110005",Primary
"3,528",77.21,28.65,Arya Vedic Pathshala (Girls),"8392, Arya Nagar, Paharganj New Delhi- 55",Primary
"3,529",77.22,28.65,MCD Primary School (Co-ed),"Amar Puri, Tel Mill Gali Ramnagar Pahar Ganj N.Delhi-110055",Primary
"3,530",77.22,28.65,MCD Primary School (Girls),"7761/69, Ram Nagar, Gali No. 2, Paharganj, New Delhi-55",Primary
"3,531",77.22,28.65,Nigam Pratibha Vidyalaya (Girls),"Ram Nagar Bhawan, Paharganj, New Delhi-110055",Primary
"3,532",77.21,28.65,MCD Primary School (Girls),"Prem Nagar (SP Zone), Paharganj, New Delhi-55",Primary
"3,533",77.21,28.65,MCD Primary School (Boys),"Nabi Karim, Paharganj, New Delhi-55",Primary
"3,534",77.18,28.65,MCD Primary School (Girls),"Anand Puri Bapa Nagar  Karol Bagh, New Delhi-110005",Primary
"3,535",77.18,28.65,MCD Primary School (Boys),"Anand Puri Bapa Nagar  Karol Bagh, New Delhi-110005",Primary
"3,536",77.18,28.64,Nigam Pratibha Vidyalaya (Co-ed),"New Rajinder Nagar, New Delhi - 110060",Primary
"3,537",77.18,28.64,Salwan Public School,Rajinder Nagar New Delhi,Senior Secondary
"3,538",77.18,28.63,J.D.Tytler School,R-Block New Rajinder Nagar New Delhi-110060,Senior Secondary
"3,539",77.18,28.65,MCD Primary School (Co-ed),"Basti Reigar, Tank Road, Karol Bagh, New Delhi-110005",Primary
"3,540",77.18,28.65,Nigam Pratibha Vidyalaya (Co-ed),"LIG Flats, Prasad Nagar New Delhi-5",Primary
