S.no,property,location,carpet_area_sqft,Price,Rate_per_sqft,status,floor,transaction,facing,overlooking,ownership,parking,city,bedroom,X,Y,nearest_metro_1,nearest_metro_2,nearest_school_1,nearest_school_2,nearest_school_3,nearest_hospital_1,nearest_hospital_2,nearest_hospital_3,distance_nearest_metro_km,distance_nearest_hospital_km,distance_nearest_school_km
1180,, ATS Nobility,1710,12600000,7522,Ready to Move,2 out of 4,Resale,North,"Garden/Park, Main Road",Freehold,,Noida,3,80.564846,27.128441,162,177,5558,5516,5604,1,118,24,384.8378258,396.1950575,389.4239593
1181,, Mahavir Enclave Part 1 New Delhi,110,9000000,5000,Ready to Move,1 out of 3,Resale,South -West,Garden/Park,Freehold,,Delhi,3,77.163665,28.557163,216,120,4198,4216,4194,40,71,28,0.505080945,2.76280744,0.51445589
1182,, Vaishali Sector 4,4000,5790000,4257,Ready to Move,20 out of 20,New Property,East,Garden/Park,Freehold,,Ghaziabad,3,77.338146,28.643401,89,4,1705,1712,1689,7,100,107,1.546396324,3.403600593,2.049278011
1183,, Sahibabad,1548,2400000,4800,Ready to Move,1 out of 15,Resale,North,"Garden/Park, Main Road",Leasehold,,Ghaziabad,1,76.72876,27.255808,162,202,743,167,459,29,128,28,134.765498,148.1763407,139.1458842
1184,, Amrapali Silicon City,1040,22500000,5114,Ready to Move,Ground out of 2,Resale,North,"Garden/Park, Main Road",Freehold,,Noida,4,77.701611,13.011079,96,162,741,742,511,4,5,29,545.3245453,1721.529633,1712.300628
1185,, NH 24,1220,1800000,3448,Ready to Move,Ground out of 2,Resale,,Garden/Park,Freehold,,Ghaziabad,1,77.0299194,28.4646148,59,60,2217,2205,2071,128,109,89,4.779840869,9.900833618,6.539351767
1202,City Realtors, Advitya Homes,645,2780000,4494,Ready to Move,Lower Basement out of 14,Resale,South - East,Main Road,Freehold,"1 Covered,",Faridabad,3,77.093113,28.459191,59,197,831,5547,818,29,28,128,2.270667501,9.919413779,3.216597772
1203,Media Estate , Supertech Eco Village,1407,4000000,20000,Ready to Move,17 out of 20,Resale,East,"Garden/Park, Main Road",Leasehold,11 Covered,Noida,2,77.453193,28.606899,187,6,1184,1203,1580,24,7,94,8.21233369,15.44383821,12.56913706
1204,, Supertech Supernova,585,12000000,11370,Ready to Move,Ground out of 2,Resale,North - East,"Garden/Park, Main Road",Freehold,1 Covered,Noida,1,77.441602,28.610201,187,6,1184,1203,1580,24,7,94,7.301054857,14.1752445,11.27784407
1205,, Hauz Khas New Delhi,1950,9000000,9444,Ready to Move,2 out of 27,Resale,North,"Garden/Park, Pool",Freehold,2 Covered,Delhi,2,77.206842,28.54985,56,51,429,449,650,126,34,119,0.621069868,1.208268926,0.350933202
1206,, ATS One Hamlet,1000,20000000,4429,Ready to Move,Ground out of 4,Resale,East,"Garden/Park, Main Road",Freehold,1 Covered,Noida,3,77.373398,28.535869,15,143,5574,413,5558,118,1,24,5.336881278,9.461069169,4.689183886
1207,, Laxmi Nagar New Delhi,1650,8500000,13000,Ready to Move,4 out of 4,Resale,North - West,"Garden/Park, Main Road",Freehold,1 Covered,Delhi,3,77.125861,28.717254,173,171,4777,4775,5255,50,41,88,1.07287403,0.268503405,0.551345358
1208,, Om Vihar,592,2790000,9545,Ready to Move,Ground out of 3,New Property,East,"Garden/Park, Main Road",Freehold,1 Open,Delhi,2,77.0482028,28.5106747,182,40,2217,2205,1750,128,89,109,4.212297778,4.469098304,1.054156124
1209,, Arun Vihar,980,26000000,5111,Ready to Move,2 out of 4,Resale,East,"Garden/Park, Main Road",Freehold,1 Covered,Noida,3,77.340236,28.566791,15,143,5573,144,1202,24,118,1,0.729869738,4.91203909,3.857331256
1210,, Rohini Sector 21,1850,10500000,4444,Ready to Move,1 out of 3,Resale,East,Garden/Park,Freehold,,Delhi,3,77.122822,28.732753,172,176,4985,4984,5184,80,50,42,1.987647014,1.596403412,0.437608867
1211,, Sagarpur,576,2300000,7059,Ready to Move,3 out of 3,Resale,North - East,Main Road,Freehold,,Delhi,2,78.93269,28.667343,187,58,1203,1580,1343,129,94,24,168.3993565,178.7823414,176.8666768
1213,, NBCC Heights,1250,15000000,4741,Ready to Move,5 out of 8,Resale,North - East,"Garden/Park, Main Road",Freehold,,Gurgaon,3,76.94150276,28.4242077,202,59,2160,2126,2236,128,109,74,8.951176427,18.76687078,10.67469625
1214,, Shri Balaji Residency,516.6672,8500000,5740,Ready to Move,3 out of 3,Resale,North - East,Garden/Park,Leasehold,,Ghaziabad,3,76.990982,28.457728,59,60,2071,2070,2160,128,109,74,9.067708053,12.44392997,6.913051402
1215,, Savarkar Apartments,1056,10000000,10455,Ready to Move,3 out of 4,Resale,North - East,Garden/Park,Freehold,,Delhi,2,73.092999,19.218507,96,202,2126,1863,1881,128,29,28,512.9781715,1125.297268,1114.14952
1217,, ILD Grand,2200,7520000,9091,Ready to Move,2 out of 3,Resale,,,,,Gurgaon,2,77.039116,28.424921,59,60,831,743,2217,128,28,29,5.33478586,14.03911645,10.27834689
1232,, Mahagun Moderne,900,21000000,8571,Ready to Move,3 out of 22,Resale,South - East,Garden/Park,Freehold,1 Covered,Noida,4,77.361906,28.634857,89,4,1203,5504,1580,7,94,100,4.327890161,5.833247026,2.938049195
